Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Data / Analytics,Data Scientist – Marketplace Insights,SEA / India,Analyse user behaviour and marketplace dynamics to guide features.,"Python, SQL, Machine Learning",20,30,25,Shopee
Data / Analytics,Principal Data Engineer,"Chennai, India",Design data pipelines and big data systems for Fidelity’s technology teams. (Fidelity Careers),"Python/SQL, Big Data tools, Architecture",20,16,18,Fidelity Investments
Data / Analytics,Data Scientist – Platform Analytics,India / Remote,Analyse large-scale device & usage data to drive product decisions.,"Python, ML, SQL",20,30,25,Apple
Data / Analytics,Data Scientist – Crypto Markets Analytics,India / Remote,Analyse crypto market data to build models and insights at Coinbase.,"Python, ML, Data visualisation, Crypto domain",20,20,20,Coinbase
Data / Analytics,Data Scientist – AI/Deep-Learning Research,India,Research and build machine learning/deep-learning models at NVIDIA.,"Python, ML/AI, Deep learning frameworks",20,18,19,NVIDIA
Data / Analytics,Machine Learning Engineer – Quantitative Trading,India (Gurgaon),Develop machine learning and quantitative models for Tower Research’s trading strategies.,"Python, ML, statistics, trading/finance domain",20,16,18,Tower Research Capital
Data / Analytics,Data Scientist – Enterprise Analytics,India / Remote,Analyse large enterprise datasets and build predictive models for clients.,"Python/R, Big Data, Domain knowledge",19,20,19.5,Quantiphi
Data / Analytics,Data Scientist,India,Analyse large data sets to find insights and help product decisions.,"Python, SQL, Statistics",18,16,17,Airbnb
Data / Analytics,Data Engineer – Financial Data,India,Build pipelines for real-time financial data & analytics systems.,"Python, SQL, streaming data",18,22,20,Bloomberg
Data / Analytics,Data Engineer,India,"Build data pipelines for the subscription service, manage analytics infrastructure.","Python, SQL, ETL, Cloud",18,15,16.5,Chargebee
Data / Analytics,Data Engineer – Banking Stack,India,Build data pipelines for Zeta’s banking/fintech clients.,"Python, SQL, ETL, Big Data",18,20,19,Zeta Tech
Data / Analytics,Data Engineer,India,Create data pipelines and manage large-scale data systems at Tencent.,"Python, SQL, Big Data tools",18,18,18,Tencent (Glassdoor)
Data / Analytics,Data Scientist,India,Analyse large data sets to help drive decisions and improve products.,"Python, SQL, Statistics",18,15,16.5,MountTalent
Data / Analytics,Data Scientist,India,Analyse data to gain insights and build modelling for product improvement.,"Python, Statistics, Machine Learning",18,25,21.5,Citrix
Data / Analytics,Data Scientist,India,Analyse transaction data and build ML models for PayU’s fintech business.,"Python, ML/AI, Big Data",18,25,21.5,PayU
Data / Analytics,Data Scientist – Retail & Supply Chain,India,Analyse retail & supply chain data to optimise Amazon’s processes.,"Python, ML, analytics, supply chain domain",18,28,23,Amazon
Data / Analytics,Data Scientist – Risk & Portfolio Analytics,India / Remote,Analyse risk and portfolio data to support investment decisions.,"SQL, Python, Finance domain knowledge",18,15,16.5,AQR
Data / Analytics,Data Scientist – Advanced Analytics,India,Use data & analytics to support consulting teams with insights & models.,"Python/R, SQL, statistics, business acumen",18,24,21,Bain & Company
Data / Analytics,Data Scientist – Market Microstructure,India / Remote,Analyse market-data to generate insights and drive trading decisions at Citadel.,"SQL, ML, finance knowledge",18,15,16.5,Citadel
Data / Analytics,Quantitative Analyst – Market Data & Execution,India / Remote,Build models & analytics for execution/data at Citadel Securities.,"Python, SQL, finance/trading knowledge",18,21,19.5,Citadel Securities
Data / Analytics,Data Scientist – Event Detection & Machine Learning,India / Remote,Use machine-learning to detect events and insights for Dataminr’s platform.,"ML/AI, Python, Statistics",18,,18,Dataminr
Data / Analytics,Data Scientist – Fraud/Transaction Analytics,India,Analyse transaction data to detect fraud and generate insights for Mastercard.,"Python/R, ML, Finance domain",18,,18,Mastercard
Data / Analytics,Machine Learning Engineer – Recommendation Systems,India / Remote,Develop ML models to improve personalization and ranking for Quora.,"Python/ML, TensorFlow, data handling",18,,18,Quora
Data / Analytics,Data Scientist – SaaS Analytics,India,Analyse usage data and build analytics/ML models for Rippling’s platform.,"Python/ML, Big-Data, SaaS domain",18,50,34,Rippling
Data / Analytics,Data Scientist – Payments & Risk,India / Remote,Analyse payment & risk data and build models for Razorpay.,"Python, SQL, ML, Fraud detection",17,16,16.5,Razorpay
Data / Analytics,Data Engineer – Blockchain Infrastructure,India / Remote,Manage and build data infrastructure for Polygon’s chain services.,"SQL/Python, Big Data, Cloud",17,18,17.5,Polygon Technology
Data / Analytics,Data Scientist – Fraud & Identity Insights,India / Remote,Analyse identity/fraud data to improve Dashlane’s protection systems.,"Python, ML, SQL, Security/fraud domain",17,18,17.5,Dashlane
Data / Analytics,Data Scientist – Payments / Fraud Analytics,India,"Analyse transaction and fraud data, build ML models at PayPal to improve safety & operations.","Python/R, ML, Big-data, analytics",17,90,53.5,PayPal
Data / Analytics,Data Scientist – Big Data & Analytics,India,Build models and analytics for PhonePe’s payments and finance domains.,"Python, ML, big-data, statistics",17,140,78.5,PhonePe
Data / Analytics,Data Scientist – Medical Imaging & Diagnostics,India,Build ML models for Siemens Healthineers’ diagnostics solutions.,"Python, ML, Healthcare/Imaging domain",17,21,19,Siemens Healthineers
Data / Analytics,Data Engineer,India (Remote),Build data pipelines and maintain large-scale data sets.,"Python, SQL, ETL tools",16,22,19,AMD
Data / Analytics,Data Scientist – Consulting,India,Analyse data to support client engagements and recommendations.,"Python, analytics, presentation skills",16,17,16.5,BCG
Data / Analytics,ML Engineer – Model Deployment,India,Develop & deploy machine learning models in production for Memory AI.,"Python, ML frameworks, APIs, Cloud",16,17,16.5,Memory AI
Data / Analytics,Data Engineer – Ad Tech Analytics,India / Remote,"Analyse ad data, build models & pipelines for PubMatic’s platform.","Python/SQL, Big Data, Analytics",16,30,23,PubMatic
Data / Analytics,Data Scientist – Customer Insights,UAE / India,Analyse user behaviour and build models for Careem’s services & products.,"Python, SQL, ML",16,30,23,Careem
Data / Analytics,Data Scientist – Trading Analytics,India / Remote,Build analytics and models for trading data at Credit Suisse.,"Python, ML, Finance domain",16,15,15.5,Credit Suisse
Data / Analytics,Data Scientist – Threat Intelligence,India / Remote,Build models and analytics to detect threats & cyber-risks at CrowdStrike.,"Python, ML, Cybersecurity domain",16,15,15.5,CrowdStrike
Data / Analytics,Data Scientist – Usage & Behaviour Analytics,India / Remote,Analyse usage data and build models to improve Dropbox’s product and user behaviour.,"Python, SQL, Data modelling",16,20,18,Dropbox
Data / Analytics,Data Engineer – Real-Time Systems,India / Remote,Build real-time data pipelines and analytics for a trading firm.,"Python, Kafka/Stream, SQL",16,15,15.5,Graviton Trading
Data / Analytics,Data Scientist – Geo-Spatial Data Processes,Mumbai / India,Analyse and build models for spatial/geo-data at HERE. (Indeed),"Python, Big-Data, GIS / Spatial data knowledge",16,17,16.5,HERE Technologies
Data / Analytics,Data Scientist – Manufacturing Analytics,Bengaluru / India,Analyse manufacturing data to optimise yields and processes at Intel.,"Python/R, statistics, large‐scale data handling",16,24,20,Intel
Data / Analytics,Data Scientist – Personal Finance Analytics,India,Build models and insights for Intuit’s finance products.,"Python, ML, finance domain knowledge",16,28,22,Intuit
Data / Analytics,Data Scientist – Trading & Analytics,India / Remote,Analyse trading/market data for Morgan Stanley’s operations.,"Python/R, ML, Finance domain",16,15,15.5,Morgan Stanley
Data / Analytics,Machine Learning Engineer – Data Quality & Analytics,Bengaluru / India,Build ML models and pipelines for NetApp’s data quality and analytics initiatives.,"Python, ML, Big Data",16,20,18,NetApp
Data / Analytics,Machine Learning Engineer – NLP/Voice Analytics,India (Bengaluru),Build NLP/voice-analysis models for Observe.AI’s conversational-AI solutions.,"Python, ML, NLP frameworks",16,15,15.5,Observe.AI
Data / Analytics,Data Scientist – Wireless/Telecom Analytics,India,"Analyse wireless/telecom data, build models for Qualcomm’s platform.","Python, ML, telecom domain knowledge",16,16,16,Qualcomm
Data / Analytics,Data Scientist – Semiconductor Analytics,India,Analyse semiconductor/manufacturing data for Synopsys.,"Python/R, ML, domain knowledge",16,18,17,Synopsys
Data / Analytics,Data Scientist – Mobility/Trip Analytics,India,Analyse trip/fleet data and build insights/models for Uber’s mobility business.,"Python, ML, analytics, domain knowledge",16,30,23,Uber Technologies
Data / Analytics,Data Scientist – Telecom Insights,India,Analyze telecom usage data and build models to improve customer experience.,"Python, Statistical Modeling, Big Data",15,16,15.5,Jio
Data / Analytics,Data Engineer – Bank Systems,India,Build and manage data systems that support banking operations.,"SQL, Python, ETL, Finance knowledge",15,18,16.5,JPMorgan
Data / Analytics,Data Scientist,India,Analyze user engagement data and build models to improve LinkedIn services.,"Python, ML, SQL, Data Storytelling",15,24,19.5,LinkedIn
Data / Analytics,Data Scientist – Retail Analytics,India,Analyse retail data (sales/footprint/inventory) to drive insights.,"Python, SQL, Statistics",15,22,18.5,Lowe’s
Data / Analytics,Data Scientist – Healthcare Analytics,India,Analyse healthcare & imaging device data for insights. (GE HealthCare),"Python/SQL, Data science, Domain knowledge",15,32,23.5,GE HealthCare
Data / Analytics,Quantitative Analyst – Trading Platform,India,Analyse trading data and build models to support Upstox’s platform.,"Python, Statistics, SQL",15,22,18.5,Upstox
Data / Analytics,Data Scientist – Travel Insights,Gurgaon / India,Analyse travel & booking data to improve product at Expedia Group.,"Python, SQL, Statistics, Visualisation",15,15,15,Expedia Group
Data / Analytics,Data Engineer,India / Remote,Build data pipelines and analytics infrastructure for Planful’s SaaS product.,"Python, SQL, ETL",15,20,17.5,Planful
Data / Analytics,Data Scientist – Healthcare Insights,India,Analyse health-care & patient data to generate insights for Practo’s products.,"Python, Statistics, Medical domain knowledge",15,16,15.5,Practo
Data / Analytics,Data Scientist,India,Analyse large scale data and build models for Yahoo’s services.,"Python, SQL, Statistics",15,15,15,Yahoo Inc.
Data / Analytics,Data Platform Engineer,India (Gurgaon/Bengaluru),"Design, develop and deploy scalable data systems for the platform.","Python/Java, Spark, SQL, Data lake technologies",15,20,17.5,Disney+ Hotstar (Way2Freshers)
Data / Analytics,Senior Data Engineer,Bengaluru/India,Build data pipelines and models for Tekion’s platform.,"Python/SQL, ETL, Big Data tools",15,25,20,Tekion
Data / Analytics,Data Scientist – Video/AI Team,Bengaluru/India,"Work with video data, build models & insights for streaming consumption.","Python, ML/AI, SQL",15,28,21.5,Warner Bros. Discovery
Data / Analytics,Platform Data Engineer – Cloud Platforms,India,Build data platforms and infrastructure for cloud-based software. (adobe.wd5.myworkdayjobs.com),"SQL, Big Data, Cloud services",15,15,15,Adobe
Data / Analytics,Data Engineer – Fab Systems,Bengaluru / India,Build data pipelines and analytics for manufacturing systems.,"SQL/Python, Big Data tools",15,32,23.5,Applied Materials
Data / Analytics,Data Scientist – Equipment Performance,Bengaluru / India,Analyse performance data from lithography equipment to optimise yields.,"Python, Analytics, Domain familiarity",15,10,12.5,ASML
Data / Analytics,Data Scientist – Tax Automation Analytics,India / Remote,Analyse tax-automation data and build insights/models for compliance systems.,"Python, SQL, Domain knowledge",15,25,20,Avalara
Data / Analytics,Data Engineer – Payment Analytics,India / Remote,Build data pipelines and analytics for Checkout.com’s transaction data.,"Python, SQL, big data",15,15,15,Checkout.com
Data / Analytics,Data Scientist – Healthcare Networks,India / Remote,Analyse data from medical professional networks to derive insights.,"Python, ML, Healthcare domain knowledge",15,24,19.5,Doximity
Data / Analytics,Data Scientist – Advanced Analytics,India / Remote,"Build ML models for credit, risk, fraud at FICO.","Python, ML, model validation",15,14,14.5,FICO
Data / Analytics,Data Scientist – Equipment Analytics,India / Remote,Analyse equipment performance data for KLA’s manufacturing customers.,"Python/R, ML, Domain knowledge",15,20,17.5,KLA Corporation
Data / Analytics,Data Scientist – Manufacturing Analytics,India / Remote,Analyse manufacturing/equipment data for Lam Research’s customers.,"Python/R, ML, Manufacturing domain knowledge",15,25,20,Lam Research
Data / Analytics,Data Scientist – Market Data Analysis,India / Remote,Build models and insights from market/nasdaq data.,"Python/R, ML, Big-data tools",15,24,19.5,Nasdaq
Data / Analytics,Data Scientist – Cloud/Enterprise Analytics,India,Analyse enterprise data and build models for Oracle’s cloud/enterprise solutions.,"Python/R, ML, Analytics",15,25,20,Oracle Corporation
Data / Analytics,Data Scientist – Wealth / Investment Analytics,India,Analyse data for wealth-management/investment product decisions at Principal.,"Python, ML, finance domain",15,16,15.5,Principal Financial Group
Data / Analytics,Data Scientist – Privacy-Preserving Analytics,India,Build ML/analytics solutions for private/compliance data at Privado.ai.,"Python, ML, statistics, privacy domain",15,20,17.5,Privado.ai
Data / Analytics,Data Scientist – Energy / Operations Analytics,India,Analyse operations data for Shell’s energy/business services.,"Python/R, Analytics, industry domain knowledge",15,15,15,Shell
Data / Analytics,Data Scientist – Social/Customer-Experience Analytics,India,Analyse social/experience data for Sprinklr’s platform.,"Python, ML, Data viz",15,16,15.5,Sprinklr
Data / Analytics,Data Scientist – Embedded Analytics Platform,India,Build data science/ML models for ThoughtSpot’s analytics tools.,"Python, ML, Analytics",15,15,15,ThoughtSpot
Data / Analytics,Data Scientist – Transaction Analytics,India,Analyse transaction/payment data for Visa India’s platform.,"Python, ML, big-data",15,20,17.5,Visa India
Data / Analytics,Data Scientist – Financial / Banking Analytics,India,Analyse financial/banking data for Wells Fargo’s analytics teams.,"Python, ML, analytics",15,25,20,Wells Fargo
Data / Analytics,Data Scientist – Strategy & Transactions,India,Analyse data for strategic reports and business decisions at EY.,"Python/R, Statistics, Business understanding",14,15,14.5,EY
Data / Analytics,Data Scientist – Ad Tech,India,Analyze ad performance data and build ML models for optimization.,"Python, ML, SQL, Big Data",14,26,20,Media.net
Data / Analytics,Data Scientist – FinTech,"Bengaluru, India",Analyse transaction and user-behaviour data to improve FamPay products.,"Python, Statistics, SQL",14,21,17.5,FamPay
Data / Analytics,Data Engineer – Insurance Analytics,India,Build pipelines & perform data-analysis to help Digit improve its insurance products.,"Python, SQL, ETL",14,20,17,Digit Insurance
Data / Analytics,Data Scientist – Travel Behaviour,India,Analyse travel data and build models to understand user behaviour.,"Python, Statistics, Machine Learning",14,15,14.5,Priceline
Data / Analytics,Data Engineer – Enterprise Data,India,Build and maintain data pipelines for client platforms.,"Python, SQL, Data Warehousing",14,14,14,Publicis Sapient
Data / Analytics,Data Engineer – Industrial Data,India,Build data solutions for industrial systems and hardware data.,"Python, SQL, Big Data",14,15,14.5,TE Connectivity
Data / Analytics,Data Scientist – Consumer Insights,India,Analyse user & market data to guide Lenovo’s product strategy.,"Python, SQL, Statistics",14,12,13,Lenovo
Data / Analytics,Data Scientist – Banking Analytics,India,Analyse banking transaction data for insights and risk management.,"Python, SQL, Banking domain knowledge",14,14,14,NatWest Group
Data / Analytics,Data Scientist – Payments & Risk Analytics,India,Model and analyse transaction and fraud-risk data for Paytm.,"Python, ML, SQL, Statistics",14,24,19,Paytm
Data / Analytics,Business Intelligence Analyst,India,"Analyse business/health-platform data (AI, analytics) at Tata 1mg. (hirist.tech)","SQL, Python, BI tools, analytics mindset",14,28,21,Tata 1mg
Data / Analytics,Data Scientist – AI & Data Science,India,Use AI & data science to reinvent business processes and solve client problems. (Accenture),"Python, ML, Data modelling",14,15,14.5,Accenture
Data / Analytics,Data Scientist – Identity & Trust Models,India,Build data models to support identity verification and trust systems.,"Python, ML, Data modelling",14,23,18.5,Affinidi
Data / Analytics,Data Engineer – Performance Analytics,India,Process large-scale data to improve content delivery network performance.,"Python, Big Data, Analytics",14,24,19,Akamai
Data / Analytics,Data Engineer – APM Analytics,India,Build data pipelines and analytics for monitoring and performance data.,"SQL, Python, big data tools",14,24,19,AppDynamics
Data / Analytics,Data Scientist – Smart-Meter Data,India / Remote,Analyse smart-meter & energy usage data for utilities and help build models.,"Python, ML, big-data, domain knowledge",14,30,22,Bidgely
Data / Analytics,Data Scientist – Fleet & Routing Analytics,India,"Analyse data for trucking/fleet operations to optimise routing, costs.","Python, ML/analytics, domain knowledge",14,15,14.5,BlackBuck
Data / Analytics,Data Scientist – Risk & Fraud Analytics,India,Analyse bank/finance data to detect fraud and model risk for Capital One.,"Python, ML, SQL, Finance domain knowledge",14,27,20.5,Capital One
Data / Analytics,Data Scientist – Healthcare Analytics,India,Analyse healthcare data to derive insights and improve patient outcomes.,"Python, SQL, healthcare domain knowledge",14,25,19.5,Philips
Data / Analytics,Data Scientist – Defence Intelligence,India,Analyse defence/intel data and build models for insights at DRDO.,"Python, ML, Data Visualisation",14,15,14.5,DRDO
Data / Analytics,Data Scientist – Financial Insights,India / Remote,Analyse financial/market data and build models for FactSet’s services.,"Python/R, statistics, finance domain",14,14,14,FactSet
Data / Analytics,Data Scientist – Predictive Maintenance,India,Use data to predict and prevent failures of industrial equipment.,"Python, ML, Industrial domain knowledge",14,14,14,GE India
Data / Analytics,Data Scientist – Payments & Fraud,India,Analyse transaction/fraud data for BillDesk’s payments platform.,"Python, ML, SQL, Fraud domain",14,14,14,BillDesk
Data / Analytics,Data Scientist – Enterprise Analytics,India / Remote,Build analytics models for enterprise clients of Nagarro.,"Python, ML, Big data",14,25,19.5,Nagarro
Data / Analytics,Data Scientist – Network Analytics,India,Analyse network‐data to drive performance and optimization for Nokia’s networks.,"Python, ML, Telecom data domain",14,24,19,Nokia
Data / Analytics,Data Scientist – Test Data & Instrumentation,India,Analyse test-data and instrumentation logs to drive insights for NI.,"Python, ML, Data analytics",14,14,14,NI (National Instruments)
Data / Analytics,Data Scientist – Spatial/Location Analytics,India,Analyse spatial/location data for Proximity’s platform.,"Python, GIS/spatial analytics, ML",14,25,19.5,Proximity
Data / Analytics,Data Scientist – Marketplace Analytics,India / Remote,Analyse platform/freelance-marketplace data for Upwork.,"Python, ML, analytics",14,14,14,Upwork
Data / Analytics,Data Scientist – Financial Data Analytics,India,Analyse financial datasets and develop insights at Yodlee.,"Python, ML, data analytics",14,25,19.5,Yodlee
Data / Analytics,Data Scientist – Food/Delivery Insights,India,Analyse food delivery/restaurant data to derive insights at Zomato.,"Python, ML, analytics",14,14,14,Zomato
Data / Analytics,Machine Learning Engineer – Conversational AI,India,Build ML/NLP models for Yellow.ai’s chatbot/conversational platforms.,"Python, NLP/ML, data pipelines",14,25,19.5,Yellow .ai
Data / Analytics,Network Analytics Engineer,India,Analyse network performance data to optimise solutions for customers. (estimate),"Python/SQL, Analytics, Networking",13,24,18.5,Cradlepoint
Data / Analytics,Network Analytics Engineer,India,Analyse network data and help optimise edge connectivity solutions.,"Python/SQL, Analytics, Networking Knowledge",13,21,17,Cradlepoint
Data / Analytics,Data Engineer – Storage Analytics,India,Analyse storage device data and usage patterns for Micron’s product teams.,"Python, SQL, Analytics, Big Data",13,25,19,Micron Technology
Data / Analytics,Data Scientist – FinTech Analytics,India,Analyse transaction & user data to drive growth at MobiKwik.,"Python, SQL, Statistics, Visualisation",13,24,18.5,MobiKwik
Data / Analytics,Data Engineer – Insurance Analytics,India,Build data pipelines and analytics models to support insurance business decisions.,"Python, SQL, ETL",13,16,14.5,Acko
Data / Analytics,Data Engineer – User Behaviour Insights,India / Remote,Build pipelines and insight tools for review and user-behaviour data.,"Python, SQL, ETL, big-data tools",13,22,17.5,Bazaarvoice
Data / Analytics,Data Scientist – Predictive Maintenance,India,Use data to predict maintenance for industrial/automotive systems.,"Python, ML, Domain knowledge",13,13,13,Bosch India
Data / Analytics,Data Engineer – Payment Data Pipelines,India,Build data pipelines and analytics for payment/transaction data at Cashfree.,"Python, SQL, ETL",13,15,14,Cashfree
Data / Analytics,Data Engineer – Cloud Usage Analytics,India / Remote,Build data pipelines & analytics to measure cloud usage and optimize services.,"Python, SQL, Big Data",13,28,20.5,DigitalOcean
Data / Analytics,Data Scientist – Delivery & Routing Insights,India,"Analyse delivery data to optimise routing, cost and performance at Dunzo.","Python, SQL, Analytics, Logistics domain",13,14,13.5,Dunzo
Data / Analytics,Data Scientist – Player Behaviour Analytics,India / Remote,Analyse player behaviour and game metrics for optimisation.,"Python, ML, Game analytics basics",13,14,13.5,Electronic Arts
Data / Analytics,Data Scientist – Vision Analytics,India,"Analyse vision system data, build models for AR/VR solutions at Eyerov.","Python, ML, Computer Vision",13,18,15.5,Eyerov Systems
Data / Analytics,Data Engineer – Credit Analytics,India,Build data pipelines for credit/risk analytics in OneCard.,"Python, SQL, ETL",13,14,13.5,ONE (OneCard)
Data / Analytics,Data Scientist – Employee/Employer Insights,India / Remote,Analyse data to drive Glassdoor’s job-market insights.,"Python, SQL, analytics",13,22,17.5,Glassdoor
Data / Analytics,Data Engineer – Logistics/Drone Data,India,Build data pipelines for drone logistics and sensor data at Impact Analytics.,"Python, ETL, Big-data tools",13,30,21.5,Impact Analytics
Data / Analytics,Data Scientist – Observability / Monitoring Data,India (Pune),Analyse monitoring data and build insights for LogicMonitor’s platform.,"Python, ML, Big Data, Monitoring domain",13,24,18.5,LogicMonitor
Data / Analytics,Data Engineer – Cloud Infrastructure,India,Build data pipelines & analytics for Nutanix’s platform.,"Python, SQL/NoSQL, Big Data",13,26,19.5,Nutanix
Data / Analytics,Data Scientist – Vehicle/Manufacturing Data,India,Analyse manufacturing or vehicle-data for Tesla in India.,"Python, ML, analytics",13,24,18.5,Tesla
Data / Analytics,Data Engineer – Chip-Design / Manufacturing Data,India,Build data pipelines/analytics around chip-design and manufacturing at TSMC.,"SQL/Python, data processing, domain interest",13,15,14,TSMC
Data / Analytics,Data Engineer – Analytics & Big-Data,India,Build data pipelines and analytics platforms for WorldQuant’s research platform.,"SQL/NoSQL, Python, big data tools",13,23,18,WorldQuant
Data / Analytics,Data Analyst – Crypto Data,Bengaluru,Analyse trading and user-activity data to optimise platform.,"SQL, Python, Analytics",12,14,13,CoinDCX
Data / Analytics,Business Systems Analyst – IT,Bengaluru,Analyse and improve internal IT business systems and workflows.,"SQL, Analysis, Business Tech",12,28,20,Commvault (Greenhouse)
Data / Analytics,Data Scientist,India,Analyse product and user data to support decisions and improvements.,"SQL, Python/R, statistics",12,14,13,Directi
Data / Analytics,Data Engineer – Web Products,India,Build data pipelines for GoDaddy’s web analytics and user products.,"SQL, Python, Big Data basics",12,13,12.5,GoDaddy
Data / Analytics,Data Scientist / Analyst – Manufacturing Intelligence,India,Analyse data in the manufacturing or geospatial domain for Hexagon.,"Python/SQL, domain knowledge",12,21,16.5,Hexagon
Data / Analytics,Data Engineer – SaaS Metrics,Remote,Build data solutions to track and improve SaaS metrics and KPIs.,"Python, SQL, Data warehousing",12,22,17,Chronus
Data / Analytics,Data Engineer,India,Build data pipelines and warehousing solutions for Teradata’s analytics platform.,"Python/SQL, ETL/Big Data, Cloud familiarity (careers.teradata.com)",12,18,15,Teradata
Data / Analytics,Data Engineer – Data Governance,India,Build and manage data pipelines for governance & compliance.,"SQL, Python, Data Governance, Cloud",12,22,17,Protegrity
Data / Analytics,Data Engineer – Ad Tech Platform,"Bengaluru, India",Build and maintain data pipelines for ad-solutions at LG Ad Solutions.,"SQL, Python, Big Data, ETL",12,15,13.5,LG Ad Solutions (Glassdoor)
Data / Analytics,Data Analyst – Threat Intelligence,India,Analyse threat data to support security research and product improvement.,"SQL, Python, analytics, cybersecurity domain",12,21,16.5,Bitdefender
Data / Analytics,Data Engineer – Testing Analytics,India,Build data pipelines and analytics for testing and developer behaviour.,"SQL, Python, data warehousing",12,20,16,BrowserStack
Data / Analytics,Data Scientist – Retail Analytics,India,Analyse retail customer data and build insights for Capillary’s services.,"SQL, Python, Analytics, Retail domain",12,20,16,Capillary Technologies
Data / Analytics,Data Scientist – User Behaviour & Real-Time Insights,India / Remote,Analyse usage data of communication platform and build insights.,"Python, SQL, Analytics",12,24,18,Dialpad
Data / Analytics,Data Engineer – Backup/Recovery Analytics,India / Remote,Build analytics pipelines for Druva’s backup and recovery data.,"Python, SQL, ETL pipelines",12,26,19,Druva
Data / Analytics,Data Scientist – 5G/IoT Analytics,India,Analyse 5G/IoT data and build models for next-gen telecom services at Ericsson.,"Python, ML, Telecom domain knowledge",12,15,13.5,Ericsson
Data / Analytics,Data Engineer – Logistics Platform,India / Remote,Build analytics pipelines for Flexport’s operations/fulfilment data.,"Python/SQL, ETL, analytics",12,24,18,Flexport
Data / Analytics,Data Scientist – Insurance Analytics,India,Analyse insurance data and build models at GoDigit.,"Python, ML, insurance domain knowledge",12,21,16.5,GoDigit
Data / Analytics,Data Scientist – Skills & Hiring Insights,India / Remote,Analyse hiring/skills data to help HackerRank’s platform.,"Python, ML, Statistics",12,15,13.5,HackerRank
Data / Analytics,Data Scientist – Wellness Analytics,India / Remote,Analyse health/fitness data and build models for HealthifyMe.,"Python, ML, data viz, healthcare domain",12,23,17.5,HealthifyMe
Data / Analytics,Data Scientist – User/Consumer Insights,India / Remote,Analyse user-behaviour data for IAC’s brands and platforms.,"Python, SQL, analytics",12,28,20,IAC
Data / Analytics,Data Scientist – Drone Payload Analytics,India,Analyse drone-payload data and derive insights for IdeaForge solutions.,"Python, Data visualisation, domain interest",12,26,19,IdeaForge Technologies
Data / Analytics,Data Scientist – Ad/Programmatic Analytics,India,Analyse ad-tech data and build models for routing/optimization at InMobi.,"Python, ML, ad-tech domain knowledge",12,30,21,InMobi
Data / Analytics,Data Engineer – Ads/Marketing Analytics,India,Build data pipelines for iQuanti’s digital-marketing analytics platform.,"Python, SQL, ETL, data warehousing",12,15,13.5,iQuanti
Data / Analytics,Data Scientist – Streaming & User Behaviour,India,Analyse listener behaviour and build models for JioSaavn’s streaming service.,"Python, SQL, ML, streaming domain interest",12,24,18,JioSaavn
Data / Analytics,Data Scientist – Financial Insights,India,Analyse financial/freelancer expense data for FlyFin AI to build insights/models.,"Python, Analytics, Domain knowledge",12,24,18,FlyFin AI
Data / Analytics,Data Engineer – Financial/Data Platform,India,Build data pipelines and analytics for Playment.io.,"Python, SQL, ETL",12,14,13,Playment.io
Data / Analytics,Data Engineer – ETL & Analytics Pipelines,India,Build data pipelines & analytics for SearchAPI.IO’s platform.,"Python, SQL/NoSQL, data-pipelines",12,25,18.5,SearchAPI.IO
Data / Analytics,Quantitative Researcher,India,Perform quantitative research and model building for financial markets at WorldQuant. (WorldQuant),"Python/R, statistics, math/CS background",12,28,20,WorldQuant
Data / Analytics,Data Engineer – Big Data / Database Analytics,India,Build analytics for Yugabyte’s database and user data.,"Python, SQL/NoSQL, Big Data",12,15,13.5,Yugabyte
Data / Analytics,Data Engineer – SaaS Metrics,Remote,Build data solutions to track metrics and KPIs for Chronus’s SaaS business.,"Python, SQL, Data Warehousing",11,17,14,Chronus
Data / Analytics,Data Analyst,India,Analyse data for communications systems to derive insights at Viasat. (LinkedIn),"SQL, Python, Analytics",11,16,13.5,Viasat
Data / Analytics,Quantitative Data Analyst – Trading Insights,India,Build insights/analytics for trading behaviour on Angel One platform.,"Python/SQL, data modelling, finance knowledge",11,20,15.5,Angel One
Data / Analytics,Data Scientist – Supply-chain + Marketplace Insights,India,Analyse user and supply-chain data to optimise DealShare’s marketplace.,"Python, SQL, Analytics, Domain knowledge",11,21,16,DealShare
Data / Analytics,Data Engineer – FinTech Analytics,India,Build analytics pipelines for expense-management/fintech data.,"Python, SQL, ETL",11,23,17,Fyle
Data / Analytics,Data Engineer / Analyst – Payment Data,Bengaluru / India,Build/analys e payment-transaction data pipelines at Juspay.,"Python, SQL, Big Data pipelines",11,22,16.5,Juspay Technologies
Data / Analytics,Senior Analytics Consultant,Chennai / India,Deliver analytics projects for Kantar’s clients. (careers.kantar.com),"SQL/Python, Statistics, Business Consulting",11,14,12.5,Kantar
Data / Analytics,Data Engineer – Merchant & Platform Analytics,India,Build data pipelines for Shopify’s merchant/analytics platform.,"Python, ETL, Big Data",11,24,17.5,Shopify
Data / Analytics,Data Engineer – Big-Data / Analytics Pipeline,India,Build ETL/data pipelines & analytics at Sigmoid.,"Python, SQL/NoSQL, Big-data tools",11,20,15.5,Sigmoid
Data / Analytics,Data Scientist – Crowd/Competition Data,Remote/India,Analyse participant/competition data for Topcoder’s platform.,"Python, Analytics, Data modelling",11,21,16,Topcoder
